id,date,category,label,text
236308269755499_516631321723191,2/12/2013 15:26,สุขภาพ,1,"สวัสดีครับเพื่อนๆ..เมื่อวานนี้ผมได้ไปช่วยครอบครัวของคุณ นคร เทียนขำ ซึ่งถูกรถชนแล้วหลบหนีขณะกำลังจะกลับบ้าน คุณ นคร ทำงานที่สำนักเขต คลองเตย ตำแหน่ง เก็บขยะ คุณแม่ก็ทำงานที่เดียวกัน คุณแม่มีหน้าที่กวาดขยะ ตอนนี้คุณแม่ทำงานคนเดียว เพราะคุณ นคร ได้เสียความทรงจำ สมองสั่งงานช้า อึ ฉี่ โดยไม่รู้ตัว ต้องใส่แพมเพิตตลอดเวลาเหตุเกิดเมื่อปีที่แล้ว คุณ นคร ต้องผ่ากระโหลก และนอน รพ เดือนครึ่ง ตอน2เดือนที่แล้วคุณหมอให้ไปใส่กระโหลกเทียม แต่คุณแม่ไม่มีเงินก็เลยยังไม่ได้ใส่ เพราะค่าใช้จ่ายทั้งหมด30,000บาท คุณแม่ก็เลยขอผลัดไปก่อน คุณพ่อเสียไป15ปีที่แล้ว แม่ต้องหาเลี้ยงลูกคนเดียวเงินเดือน12,000บาทหักใช้หนี้สหกรณ์6,000บาทเหลือ6,000บาทเมื่อวานผมให้คุณแม่นัดหมอเพื่อทำการใส่กระโหลกเทียมให้น้องแล้วครับ โดยจะออกค่าใช้จ่ายให้คุณ นคร ทั้งหมด ตอนนี้ คุณ นคร อายุ 30ปี คุณแม่ 50ปี ก็ควต้องดูแลกันและกันไปอีกนานครับ ถ้าเพื่อนๆท่านใดอยากจะช่วยเหลือคุณ นคร ก็ยินดีครับชื่อ บ/ช นาง สมควร พุ่มสงวน ธ.กรุงไทย สาขาเอกมัย  เลขที่ บ/ช 053-0099578 ออมทรัพย์อยู่บ้านเลขที่ 8/270 ซ.อาจณรงค์1 ข.คลองเตยเขต คลองเตย ขอบคุณมากๆครับ"
236308269755499_516637568389233,2/12/2013 15:52,สุขภาพ,1,"นี่คือภาพคุณ นคร ตอนถูกชนเมื่อปีที่แล้ว เมื่อวานนี้ได้ช่วยเหลือไป15,000บาท อีก2อาทิตย์ คุณ นครจะไปใส่กระโหลกเทียมครับ"
236308269755499_518039984915658,2/15/2013 19:29,ความเป็นอยู่,2,"สวัสดีครับเพื่อนๆ..วันนี้ผมมาหาอาจารย์ท่านหนึ่งซึ่งเมืิ่อก่อนนี้ท่ามีชื่อเสียงอย่างมากท่านชื่อ กู้เกียรติ นครสวรรค์ ฉายาระนาดเอกและระนาดลอยฟ้า เป็นผู้ที่แต่งเพลงมากมาย แต่งเพลงให้นักร้องดังๆในอดีตเช่น สัญญา พรนารายณ์ เพชร โพธารามขวัญจิต ศรีประจัน ไวพจน์ เพชรสุพรรณ และท่านได้รางวัลมากมาย  แต่ตอนนี้ท่านป่วยและถูกทอดทิ้งให้อยู่คนเดียวในบ้านที่ทรุดโทรมมาก เป็นบ้าน2ชั้นเก่ามากๆ เข้า2คนไม่ได้เพราะบ้านพังแน่นอน ผมได้นั่งคุยกับท่านก็สงสารท่าน ท่านมีลูก1คนที่เลี้ยงมากับมือโดยถูกภรรยาทิ้งไปแต่ก็ทนเลี้ยงมาจนโตแต่ก็มาทิ้งท่านและขโมยเงินที่เก็บเอาไว้2หมื่นบาทไปด้วย ท่านบอกจะเอาเงินที่เก็บไว้ซ่อมบ้าน แต่ลุูกก็ขโมยไปแล้ว ท่านเดินไม่ได้ถนัด เดินได้ช้าๆ ที่บ้านท่านน่ากลัวมากจริงๆไม่รู้ว่าวันไหนจะพังลงมา มีน้ำเน่ารอบๆบ้าน ข้างในบ้านมีแต่กลิ่นเหม็น ท่านไม่ออกไปไหน จะมีชาวบ้านแถวนั้นเอาข้าวมาให้บ้างมาถามบ้างว่าต้องการอะไร วันนี้ผมก็เลยบอกท่านว่าผมจะซ่อมแซมบ้านให้ใหม่ เปลี่ยนทุกอย่างที่ใช้ไม่ได้ออก ทำให้ดีกว่าเดิมและไม่อันตราย โดยเรียกช่างมาตีราคา ก็คงประมาณไม่เกิน50,000บาท ผมได้จ่ายค่ามัดจำเอาไว้ซื้อของก่อน15,000บาท ก็คงจะเริ่มทำวันจันทร์นี้ครับ ท่านดีใจมากๆไม่เคยคิดมาก่อนว่าจะมีวันนี้  เห็นท่านยิ้มได้ผมก็มีความสุขครับ"
236308269755499_519530701433253,2/18/2013 13:46,การเข้าถึงบริการภาครัฐ,3,สวัสดีครับเพื่อนๆ..เมื่อวานนี้ได้เข้าไปช่วยเหลือคุณยาย เวียง(บุญมา ทับชู) อายุ85ปี อยู่คนเดียวมา15ปี ตอนนี้อาศัยบ้านเช่าอยู่ แต่เจ้าของไม่เอาค่าเช่าให้อยู่ฟรี เพราะชอบคุณยายใจบุญ คุณยายชอบเอาอาหารไปเลี้ยงสุนัขและแมวที่ไม่มีเจ้าของ และเลี้ยงแมวตาบอดเอาไว้อีกตัวเพราะมีคนเอามาทิ้ง คุณยายเป็นคนไม่มีตัวตนคุณไม่มีบัตรประชาชน คุณยาย เป็นคนจังหวัดสุโขทัย มาอยู่แถวจรัญเมื่อ40ปีที่แล้ว แต่บัตรประชาชนหาย คุณยายเคยไปถามที่สำนักงานเขตที่บางกอกน้อยให้ on line ไปที่สุโขทัย แต่เจ้าหน้าที่บอกคุณยายตายไปแล้ว ทำบัตรไม่ได้ คุณยายไม่เคยได้รับสิทธิอะไรเลยของผู้สูงอายุ คุณยายอยู่แบบไม่มีตัวตน บ้านที่ยายอยู่ก็ต้องมุดเข้าบ้าน เพราะสถานที่มันเล็กมาก ฝาปิดก็หนัก ยายต้องเอาหัวดันฝาเข้าห้อง ผมคิดว่าผมจะพายายไปทำบัตรที่ประชาชนที่สำนักงานเขตบางกอกน้อยอีกที ไปขอความกรุณาผู้อำนวยการเขตให้ช่วยยาย ผมถามว่าแล้วยายเอาเงินที่ไหนใช้ยายบอกว่ามีคนเขาให้ทีละ20-30 ก็เก็บเอาไว้ เค้าสงสารยาย ผมถามว่ายายใช้เงินเดือนล่ะเท่าไร ยายบอกว่าเดือนล่ะ1พันบาท ถ้าไม่ไปหาหมอก็พอ ยายต้องไปหาหมอที่คลีนิก เพราะไป รพ ไม่ได้ ไม่มีบัตรผมเลยบอกยายว่าผมจะดูแลยายเองโดยให้ยายใช้ทุกเดือน เดือนละ2พันบาท และจะไปทำบัตรประชาชนด้วย ยายดีใจน้ำตาไหลเลย บอกว่าช่วยยายด้วยนะ ก็คงไม่เกินอาทิตย์นี่้ครับจะพายายไปทำบัตร ก็ต้องขอความกรุณาท่าน ผอ สำนักงานเขตด้วยนะครับ กราบขอบพระคุณครับ(ผมจะเอายายไปอยู่ที่นครปฐมแต่ยายไม่ไปครับเป็นห่วงแมวกับสุนัข)
236308269755499_520560281330295,2/20/2013 17:55,สุขภาพ,1,"สวัสดีครับเพื่อนๆ..เมื่อวานนี้ผมได้ไปหาน้องอุ้มหรือด.ญ วราลักษณ์ พาณิชย์ อายุ 6ปี อยู่ อนุบาล3น้องอุ้มมีอาการผิดปกติทางร่างกายอย่างมาก เมื่อก่อนตอนอายุ4-5ปีน้องอุ้มมีน้ำหนักมากถึง34กกแต่มาเมื่อปีที่แล้วน้องอุ้มน้ำหนักเหลือเพียง16กกมีแต่หนังหุ้มกระดูก ทุกวันนี้น้องก็ยังคงทานข้าวได้เหมือนปกติ แต่ร่างกายก็ผอมลงเลยๆ คุณแม่พาไปหาหมอแล้วหลายครั้งแต่ก็หาสาเหตุไม่ได้ น้องไม่มีอาการเจ็บปวด แต่จะไม่ค่อยมีแรง ครอบครัวฐานะยากจนคุณพ่อเป็น ยาม คุณแม่ขายขันขายกะแป๋งพาสติกแถวตลาดนัด ต้องนั่งรถเมล์ไปขาย ุคณพ่อขี่จักรยานไปทำงาน ผมวานผมก็เลยอาสาน้องว่าจะลองปรึกษาคุณหมอที่ศิริราชดูครับ ว่าจะสามารถช่วยน้องเขาได้มั้ย ถ้าได้ก็จะไปรับน้องมารักษาอีกทีน้องไม่ค่อยได้ทานนมเท่าไร ร่างกายน้องไม่มีเนิื้อเลยครับ ก้นก็ไม่มี เหี่ยวทั้งตัว คุณแม่พาไปทุกที่ทั้งหมอปัจจุบันและหมอพระและไสย์ยาศาตร์ แต่น้องก็ไม่ดีขีึ้น ถ้าคุณหมอที่ศิริราชจะรับน้องไปรักษาผมจะดำเนินการให้ครับ เมื่อวานช่วยน้องไป10,000บาทครับแต่ถ้าท่านใดอยากจะช่วยเหลือก็เชิญนะครับบ/ช ชื่อ กฤติยา สุขวินัย ธ.ไทยพาณิชย์ ออมทรัพย์เลขที่ บ/ช 403-7-82719-2 ท่านใดอยากโทรสอบถามรายละเอียด 081-6348136 ขอบคุณมากๆครับ"
236308269755499_520934807959509,2/21/2013 17:06,สุขภาพ,1,"สวัสดีครับเพื่อนๆ..เมื่อวานนี้ผมได้มีโอกาสได้เข้าไปช่วยเหลือน้อง ป๋องแป๋ง หรือ ด.ช ปัณณฑัต การะเกตุ  อายุ11ปี อาศัยอยู่กับยายกับแม่ ส่วนพ่อทิ้งไปเมื่อรู้น้องพิการ น้องเกิดมามีนิ้วเท้าติดกันและนิ้งเท้าไม่ครบ แถมมิหน่ำซ้ำน้องยังเป็นโรคแพ้ภูมิตัวเอง คือมีแผลขึ้นตามตัวส่วนมากที่ขา เป็นแผลแบบผุผองมีน้ำเหลืองไหลเยิ้ม ตามร่างกาย เป็นที่น่ารังเกลียดของเพื่อนๆบางคน น้องต้องอดทนและต่อสู้กับตัวเองมาถึง 10ปี คุณยายพาไปหาหมอที่อนามัย ไม่ไม่หาย ไปมาหลายที่ในเขตของจังหวัดปทุมธานี จนหมดเงินรักษาแล้ว ผมก็เลยอาสาจะพาน้องมารักษาที่ รพ พระมงกุฎครับ ตอนนี้กำลังปรึกษาคุณหมออยู่ครับ น้องน่าสงสารมากครับ เท้าก็พิการ ผิวหนังยังเป็นแผลอีก พอผมพูดให้กำลังใจน้อง น้องก็ร้องไห้ออกมาแบบน้อยใจตัวเอง เมื่อวานนี้ผมเอาเงินให้น้อง10,000บาทเอาไว้ให้น้องเป็นค่าใช้จ่าย ถ้าเพื่อนๆท่านใดอยากจะช่วยเหลือน้องก็เชิญเลยนะครับ ชื่อ บ/ช นาง บุญธรรมการะเกตุ ธ.กสิกรไทย สาขาโลตัสวัดลาดปลาดุกเลขที่ บ/ช 573-2-07594-3 ออมทรัพย์คุณแม่เป็นพนักงานอยู่ บิ๊กซี  กราบขอบคุณมากๆครับ"
236308269755499_522185954501061,2/24/2013 18:47,ความเป็นอยู่,2,สวัสดีครับเพื่อนๆ..ตอนนี้ผมอยู่ที่นอนของคุณตาวิชัย ที่ถูกลูกนำมาทิ้งแล้วนะครับ แต่ตอนนี้คุณตาถูกนำตัวส่ง รพ สมเด็จ ที่ศรีราชาแล้วครับ โดยมูลนิธิสว่างบริบูรณ์ เป็นผู้นำส่งครับ เพื่อนๆทุกท่านต้องห่วงนะครับ ตอนนี้ผมกำลังไปเยี่ยมคุณตาที่ รพได้ความคืบหน้าอย่างไรจะแจ้งให้ทราบอีกที..ถ้าลูกไม่ออกมา ผมก็จะพาคุณตาไปดูแลที่นครปฐมเองครับ แล้วจะแจ้งให้ทราบครับ
236308269755499_522224967830493,2/24/2013 20:28,สุขภาพ,1,เพื่อนๆครับ..ตอนนี้ผมอยู่ที่ รพ สมเด็จฯ ที่ศรีราชาแล้วครับ ตอนนี้คุณตาปลอดภัยแล้วครับ หน้าตาสดใส ตอนนี้นอนให้น้ำเกลืออยู่ครับ และที่สำคัญคือภรรยาของคุณตามาเยี่ยมแล้วครับ ภรรยาคนแรกที่เลิกกันไปเมื่อ40ปีที่แล้วแล้วก็มีลูกด้วยกัน1คน แต่ลูกอยู่กระบี่ จะมาเยี่ยมพรุ่งนี้ครับแล้วบอกว่าไม่รู้เรื่องที่พ่อโดนทิ้งแบบนี้ คิดว่าอยู่สุขสบายกับภรรยาใหม่ ถ้ารู้ว่าถูกทอดทิ้งก็คงเอาพ่อไปอยู่ด้วยแล้วเพื่อนๆครับถ้าสังเกตุนิ้วมือด้านซ้ายนิ้วนางของลุงจะเป็นสีดำอยู่ครึ่งนิ้ว นั้นคือไม่มีใครเห็นว่าลุงเอาหนังยางไปรัดไว้ตั้งแต่เมื่อไร ทำให้นิ้วเน่าและตายลุงพูดไม่ได้ อาการคือเคี้ยวฟันอยู่ตลอดเวลา และผู้หญิงที่เห็นเสื้อสีแดง น้องคนนี้เป็นคนpost เรื่องของคุณตาครับ น้องไม่ใช่ญาติคุณตาแต่สงสาร เลยอยากให้มีใครมาช่วยเหลือคุณตา ขอบคุณมากๆครับน้องเอ ทำให้เราทราบเรื่องคุณตา และทำให้ภรรยาและลูกได้เจอคุณตาอีกครั้ง ขอบคุณเพื่อนๆทุกท่านที่ทำให้สังคมของเราน่าอยู่มากๆ เพราะถึงอย่างไรเราก็คนไทยด้วยกันครับ
236308269755499_522551677797822,2/25/2013 12:09,สุขภาพ,1,"สวัสดีครับเพื่อนๆ..เมื่อวานนี้ผมได้เข้ามาเยี่ยมน้องแบงค์ ที่ถูกรุมทำร้ายเมื่อเดิือน มกราคม ที่ผ่านมาน้องถูกฟันนิ้วมือขาด6นิ้ว และถูกแทงทะลุปอดและที่หัวที่ด้านหลัง เย็บกว่า200เข็ม แต่ตอนนี้หมอต่อน้ิวให้น้องได้4นิ้วด้วนไป2นิ้ว แต่ส่วนที่ต่อยังใช้งานไม่ได้ ส่วนแขนด้านซ้ายก็ใช้งานไม่ได้เพราะโดนฟันจนเอ็นขาด ตอนนี้กลับมารักษาตัวอยู่ที่บ้านได้10วันแล้วยังไม่มีหน่วยงานไหนมาช่วยค่ารักษา น้องใช้บัตร30บาทรักษา แต่ต้องมีค่าส่วนเกินกว่า70,000บาท คุณแม่เป็นกระเป๋ารถเมล์ คุณพ่อแยกทางกันเมื่อวานผมช่วยเหลือน้องไป20,000บาท น้องอยากกลับไปเรียนแต่มือไม่สามารถเขียนได้ ถ้าเพื่อนๆท่านใดอยากจะช่วยเหลือน้องแบงค์ก็เชิญเลยครับ ชื่อ บ/ช นางธันยา นุริตานนท์ ธ.กรุงไทยสาขาปากน้ำ เลขที่ บ/ช 219-0-26787-0 ออมทรัพย์ กราบขอบคุณครับวันนี้ไปเวียนเทียนกันนะครับ ผมไปที่วัดทุ่งเศรษฐีที่รามคำแหง2 ครับ"
236308269755499_523013891084934,2/26/2013 14:22,ความเป็นอยู่,2,"สวัสดีครับเพื่อนๆ..มีเหตุสลดใจเกิดขึ้น รูปที่เห็นคือน้องเนยอายุ3ปี ถูกพ่อแท้ๆกรอกยาฆ่าหญ้าและพ่อก็กินตามด้วย แต่พ่อกลับสงสารลูก จึงเอาลูกอุ้มออกมาให้เพื่อนๆที่ทำด้วยกันช่วยส่ง รพ และพ่อก็ขาดใจตาย ตอนนี้น้องเนยอาการน่าเป็นห่วงมากๆค่าอ็อกซิเจนต่ำมากปอดไม่ทำงาน อาการ50-50ตอนนี้อยู่ รพ สงขลานครินทร์ เหตุเกิดวันที่10 ก.พเรื่องมีอยู่ว่า พ่อกับแม่เลิกทางกันประมาณ1ปีแล้วแต่ลูกอยู่ในความดูแลของพ่อ วันเกิดเหตุแม่ไปเยี่ยมลูก แต่พ่อขอคืนดีแต่แม่ไม่ยอม เพราะพ่อชอบมีอาการโมโหร้าย ชอบทำร้ายร่างกายแม่ ทำให้พ่อมีอาการไม่พอใจ แล้วแม่ก็กลับออกไป แต่ไม่คิดว่าพ่อจะร้ายลูกได้ลงคอ ตอนนี้ค่าใช้จ่าส่วนเกินมากมาย แม่ต้องไปยืมเงินเพื่อนบ้านมารักษาลูก แม่มีอาชีพ รับจ้างกรีดยางพ่อตัดปาลม์ วันนี้ผมโอนเงินช่วยเหลือไป20,000บาท เพื่อช่วยน้อง รายนี้ผมอยากให้เพื่อนๆช่วยน้องด้วยครับ น้องไม่รู้เรื่องอะไรด้วยเลยครับ แค่ความคิดสั้นๆของพ่อทำให้น้องต้องเป็นแบบนี้  ชื่อ บ/ช น.ส วนิสา ปานแจ่ม ธ.กรุงไทยสาขาเขาชัยสน เลขที่ บ/ช 921-0-16164-5ออมทรัพย์ น้องแย่มากๆครับอาการตอนนี้เบอร์โทรคุณแม่ 091-6495993 ขอบคุณครับ"
